date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_regime_13mar2020,sample_avg,day_avg,p_1,p_2
"2020-03-10","IRN","Qom",1,1,1,1,1,1,0,0,637,743,1292283,10mar2020,2,3,2020,10,"Qom",0,6.456769,.0631785,0,,,1,0
"2020-03-11","IRN","Qom",1,1,1,1,1,1,0,0,690,796,1292283,11mar2020,3,3,2020,11,"Qom",0,6.536692,.0799222,0,,,1,0
"2020-03-12","IRN","Qom",1,1,1,1,1,1,0,0,732,838,1292283,12mar2020,4,3,2020,12,"Qom",0,6.59578,.0590887,0,,,1,0
"2020-03-13","IRN","Qom",1,1,1,1,1,1,1,0,774,880,1292283,13mar2020,5,3,2020,13,"Qom",0,6.651572,.0557914,1,,,1,1
"2020-03-14","IRN","Qom",1,1,1,1,1,1,1,0,806,912,1292283,14mar2020,6,3,2020,14,"Qom",0,6.692084,.0405121,0,,,1,1
"2020-03-15","IRN","Qom",1,1,1,1,1,1,1,0,890,996,1292283,15mar2020,0,3,2020,15,"Qom",0,6.791222,.0991378,0,,,1,1
"2020-03-16","IRN","Qom",1,1,1,1,1,1,1,0,909,1015,1292283,16mar2020,1,3,2020,16,"Qom",0,6.812345,.0211234,0,,,1,1
"2020-03-17","IRN","Qom",1,1,1,1,1,1,1,1,938,1044,1292283,17mar2020,2,3,2020,17,"Qom",0,6.84375,.031405,0,,,1,1
"2020-03-18","IRN","Qom",1,1,1,1,1,1,1,1,960,1066,1292283,18mar2020,3,3,2020,18,"Qom",0,6.866933,.0231833,0,,,1,1
"2020-03-19","IRN","Qom",1,1,1,1,1,1,1,1,991,1097,1292283,19mar2020,4,3,2020,19,"Qom",0,6.898715,.0317812,0,,,1,1
"2020-03-20","IRN","Qom",1,1,1,1,1,1,1,1,1027,1133,1292283,20mar2020,5,3,2020,20,"Qom",0,6.934397,.0356827,0,,,1,1
"2020-03-21","IRN","Qom",1,1,1,1,1,1,1,1,1047,1153,1292283,21mar2020,6,3,2020,21,"Qom",0,6.953684,.0192871,0,,,1,1
