date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population
2020-02-25,IRN,Qom,1,1,1,1,0,0,0,0,50.0,50,1292283.0
2020-02-25,IRN,Razavi Khorasan,0,0,1,1,0,0,0,0,1.0,1,6434501.0
2020-02-25,IRN,Semnan,1,0,1,1,0,0,0,0,0.0,0,702360.0
2020-02-25,IRN,Sistan and Baluchestan,0,0,1,1,0,0,0,0,0.0,0,2775014.0
2020-02-25,IRN,South Khorasan,0,0,1,1,0,0,0,0,0.0,0,768898.0
2020-02-25,IRN,Tehran,1,0,1,1,0,0,0,0,21.0,21,13267637.0
2020-02-25,IRN,West Azarbaijan,0,0,1,1,0,0,0,0,0.0,0,3265219.0
2020-02-25,IRN,Yazd,0,0,1,1,0,0,0,0,0.0,0,1138533.0
2020-02-25,IRN,Zanjan,1,0,1,1,0,0,0,0,0.0,0,1057461.0
2020-02-26,IRN,Alborz,1,0,1,1,0,0,0,0,2.0,2,2712400.0
2020-02-26,IRN,Ardebil,1,0,1,1,0,0,0,0,0.0,0,1270420.0
2020-02-26,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0,1163400.0
2020-02-26,IRN,Chahar Mahall and Bakhtiari,0,0,1,1,0,0,0,0,0.0,0,947763.0
2020-02-26,IRN,East Azarbaijan,0,0,1,1,0,0,0,0,0.0,0,3909652.0
2020-02-26,IRN,Esfahan,0,0,1,1,0,0,0,0,2.0,2,5120850.0
2020-02-26,IRN,Fars,0,0,1,1,0,0,0,0,3.0,3,4851274.0
2020-02-26,IRN,Gilan,1,0,1,1,0,0,0,0,9.0,9,2530696.0
2020-02-26,IRN,Golestan,1,0,1,1,0,0,0,0,0.0,0,1868819.0
2020-02-26,IRN,Hamadan,1,0,1,1,0,0,0,0,1.0,1,1738234.0
2020-02-26,IRN,Hormozgan,0,0,1,1,0,0,0,0,2.0,2,1776415.0
2020-02-26,IRN,Ilam,0,0,1,1,0,0,0,0,0.0,0,580158.0
2020-02-26,IRN,Kerman,0,0,1,1,0,0,0,0,0.0,0,3164718.0
2020-02-26,IRN,Kermanshah,1,0,1,1,0,0,0,0,1.0,1,1952434.0
2020-02-26,IRN,Khuzestan,0,0,1,1,0,0,0,0,3.0,3,4710509.0
2020-02-26,IRN,Kohgiluyeh and Buyer Ahmad,0,0,1,1,0,0,0,0,2.0,2,713052.0
2020-02-26,IRN,Kordestan,1,0,1,1,0,0,0,0,0.0,0,1603011.0
2020-02-26,IRN,Lorestan,0,0,1,1,0,0,0,0,1.0,1,1760649.0
2020-02-26,IRN,Markazi,1,0,1,1,0,0,0,0,5.0,5,1429475.0
2020-02-26,IRN,Mazandaran,1,0,1,1,0,0,0,0,4.0,4,3283582.0
2020-02-26,IRN,North Khorasan,0,0,1,1,0,0,0,0,0.0,0,863092.0
2020-02-26,IRN,Qazvin,1,0,1,1,0,0,0,0,0.0,0,1273761.0
2020-02-26,IRN,Qom,1,1,1,1,0,0,0,0,65.0,65,1292283.0
2020-02-26,IRN,Razavi Khorasan,0,0,1,1,0,0,0,0,1.0,1,6434501.0
2020-02-26,IRN,Semnan,1,0,1,1,0,0,0,0,1.0,1,702360.0
