t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter2,ub_counter2,m_y_actual,m_y_counter,day_avg
05mar2020,0,0,.0297914,.3227101,.2856943,.3597258,,,
01feb2020,.2758246,.2212813,.330368,.3170204,.2819315,.3521092,,,
02feb2020,.2758246,.2212813,.330368,.3170204,.2819315,.3521092,,,
03feb2020,.2758246,.2212813,.330368,.3170204,.2819315,.3521092,,,
04feb2020,.1534408,.0977744,.2091072,.3170204,.2819315,.3521092,,,
05feb2020,.1534408,.0977744,.2091072,.3170204,.2819315,.3521092,,,
06feb2020,.1299828,.0783049,.1816606,.2935623,.2649019,.3222227,,,
07feb2020,.058952,.0073343,.1105696,.3170204,.2819315,.3521092,,,
08feb2020,.058952,.0073343,.1105696,.3170204,.2819315,.3521092,,,
09feb2020,.058952,.0073343,.1105696,.3170204,.2819315,.3521092,,,
10feb2020,.058952,.0073343,.1105696,.3170204,.2819315,.3521092,,,
11feb2020,.0339375,0,.0824481,.3170204,.2819315,.3521092,,,
12feb2020,.0339375,0,.0824481,.3170204,.2819315,.3521092,,,
13feb2020,.0317958,0,.0779918,.3148787,.2792047,.3505527,,,
14feb2020,.0339375,0,.0824481,.3170204,.2819315,.3521092,,,
15feb2020,0,0,.0408882,.3170204,.2819315,.3521092,,,
16feb2020,0,0,.0408882,.3170204,.2819315,.3521092,,,
17feb2020,0,0,.0408882,.3170204,.2819315,.3521092,,,
18feb2020,.0052889,0,.0479909,.3170204,.2819315,.3521092,,,
19feb2020,.0052889,0,.0479909,.3170204,.2819315,.3521092,,,
20feb2020,0,0,.0399843,.3090003,.273927,.3440735,,,
21feb2020,.0052889,0,.0479909,.3170204,.2819315,.3521092,,,
22feb2020,0,0,.0306747,.3170204,.2819315,.3521092,,,
23feb2020,0,0,.0306747,.3170204,.2819315,.3521092,,,
24feb2020,0,0,.0306747,.3170204,.2819315,.3521092,,,
25feb2020,0,0,.0294328,.3170204,.2819315,.3521092,,,
26feb2020,0,0,.0294328,.3170204,.2819315,.3521092,,,
27feb2020,0,0,.0294328,.3170204,.2819315,.3521092,,,
28feb2020,0,0,.0294328,.3170204,.2819315,.3521092,,,
29feb2020,0,0,.0235482,.3170204,.2819315,.3521092,,,
01mar2020,0,0,.0235482,.3170204,.2819315,.3521092,,,
02mar2020,0,0,.0235482,.3170204,.2819315,.3521092,,,
03mar2020,0,0,.0235482,.3170204,.2819315,.3521092,,,
31jan2020,.2530661,.1985227,.3076094,.2942618,.259173,.3293507,,,
01feb2020,.2530661,.1985227,.3076094,.2942618,.259173,.3293507,,,
02feb2020,.2530661,.1985227,.3076094,.2942618,.259173,.3293507,,,
03feb2020,.2530661,.1985227,.3076094,.2942618,.259173,.3293507,,,
04feb2020,.1306822,.0750159,.1863486,.2942618,.259173,.3293507,,,
05feb2020,.1306822,.0750159,.1863486,.2942618,.259173,.3293507,,,
06feb2020,.1072242,.0555463,.158902,.2708037,.2421433,.2994642,,,
07feb2020,.0361934,0,.087811,.2942618,.259173,.3293507,,,
