adm0_name,adm1_name,adm2_name,policy,policy_description,date_start,date_end,optional,source,access_date,notes
CHN,Jilin,Changchun,home_isolation,"1 district, Kuancheng",02/06/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Jilin,Jilin,home_isolation,,02/06/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Liaoning,Jinzhou,home_isolation,,02/06/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Shaanxi,Xianyang,home_isolation,,02/06/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Sichuan,Neijiang,home_isolation,,02/06/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Sichuan,Ya'an,home_isolation,,02/06/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Anhui,All,home_isolation,,02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,4/2/2020,
CHN,Anhui,Lu'an,home_isolation,,02/07/2020,NA,N,http://www.bozhou.gov.cn/News/show/372139.html,3/17/2020,
CHN,Gansu,Lanzhou,home_isolation,,02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Guangdong,Guangzhou,home_isolation,,02/07/2020,03/13/2020,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Guangdong,Shenzhen,home_isolation,maybe ends 3/10/2020?,02/07/2020,03/13/2020,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns; http://news.stcn.com/2020/0210/15633808.shtml,3/15/2020,
CHN,Guizhou,Guiyang,home_isolation,,02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Hebei,Tangshan,home_isolation,,02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Jiangsu,Lianyungang,home_isolation,,02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Sichuan,Chengdu,home_isolation,,02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
CHN,Sichuan,Guangyuan,home_isolation,,02/07/2020,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,
