country,adm0_name,adm1_name,adm2_name,date,susceptible_individuals_no_policy,infectious_individuals_no_policy,recovered_individuals_no_policy,share_of_susceptible_individuals_no_policy,cum_confirmed_cases_no_policy,cum_infections_no_policy,susceptible_individuals_with_policy,infectious_individuals_with_policy,recovered_individuals_with_policy,share_of_susceptible_individuals_with_policy,cum_confirmed_cases_with_policy,cum_infections_with_policy,cases_saved,infections_saved
italy,ITA,Campania,Salerno,2020-03-23,1005667.4962155801,73913.15117507023,18932.352609349648,0.9154807418897911,3859.20459180149,89748.9439953835,1091566.045243649,4634.409510371774,2312.545245979214,0.9936760377379685,293.73870775126653,6831.132738401548,3565.4658840502234,82917.81125698195
italy,ITA,Campania,Salerno,2020-03-24,971137.383948178,100892.65925177428,26482.956800047657,0.8840472383560122,5298.823740332516,123228.45907750037,1090968.9608182006,4864.128273876849,2679.9109079225454,0.9931324989492164,319.24692354071027,7424.347059086286,4979.576816791805,115804.11201841409
italy,ITA,Campania,Salerno,2020-03-25,925388.1044684281,136446.0093617142,36678.886169857695,0.842400685716444,7207.723017865616,167621.46553175853,1090305.7914944834,5139.894135794574,3067.3143697220366,0.992528801656861,347.55672691080997,8082.714579321163,6860.166290954807,159538.75095243737
italy,ITA,Campania,Salerno,2020-03-26,865069.1021164434,183096.30018895966,50347.59769459686,0.7874910011228301,9726.252227998335,226191.91227903106,1089516.6252654223,5515.131793369593,3481.2429412081838,0.9918104066728589,381.18925020050017,8864.866283732563,9345.062977797836,217327.0459952985
italy,ITA,Campania,Salerno,2020-03-27,792429.9098292213,238041.98408803914,68041.10608273954,0.7213659827687259,12767.49495892932,296918.48741696094,1088708.470551845,5881.155683559081,3923.373764595948,0.9910747260631826,415.6538537529957,9666.368691930133,12351.841105176323,287252.1187250308
italy,ITA,Campania,Salerno,2020-03-28,711095.9904690858,297345.0103626183,90071.99916829588,0.6473259674387883,16184.66805573564,376387.6292031544,1087931.2932477097,6191.167924425237,4390.538827864919,0.9903672448552814,448.8445640100647,10438.245674652668,15735.823491725574,365949.3835285017
italy,ITA,Campania,Salerno,2020-03-29,614647.1061811927,366623.3445720663,117242.549246741,0.5595264745899162,20241.523258896992,470733.09904411616,1086868.5212714996,6749.323641215888,4895.155087284511,0.9893997806776065,494.0632517277998,11489.843063437205,19747.460007169193,459243.25598067895
italy,ITA,Campania,Salerno,2020-03-30,524854.4005823742,424872.7116139821,148785.8878036437,0.4777862442978592,24039.565595286607,559059.6650066653,1086023.0670527024,7060.954973959625,5428.977973337984,0.9886301455264548,530.1956572600636,12330.131564187528,23509.369938026543,546729.5334424777
italy,ITA,Campania,Salerno,2020-03-31,437999.16776962526,476218.2297989518,184295.60243142286,0.39872005863346655,27724.904580936363,644765.2228124737,1085118.4238602158,7406.132265019465,5988.443874764722,0.9878066293800946,568.8460658707451,13228.978276063839,27156.05851506562,631536.2445364099
italy,ITA,Campania,Salerno,2020-04-01,357648.0091552727,517734.3707722998,223130.6200724275,0.32557467153804526,31144.55336406317,724291.9386991435,1084114.6531067232,7820.34145326239,6578.0054400144145,0.9868928752838821,611.6991520892255,14225.561676493619,30532.854211973943,710066.3770226499
italy,ITA,Campania,Salerno,2020-04-02,285565.3017952667,548408.8488182573,264538.849386476,0.2599562333766343,34220.75085860819,795831.4153164696,1082921.542218324,8384.057786852289,7207.399994823616,0.9858067607923839,662.5515353096996,15408.175239760458,33558.19932329849,780423.2400767092
italy,ITA,Campania,Salerno,2020-04-03,226611.94648126632,564373.2024309686,307527.85108776507,0.20628972664071005,36745.21578521073,854539.9019816449,1081701.2492106883,8932.651603600714,7879.099185711006,0.9846959018333769,714.597135946774,16618.538045273814,36030.61864926395,837921.363936371
italy,ITA,Campania,Salerno,2020-04-04,180471.61291863266,566952.0422603069,351089.3448210604,0.16428718906251694,38727.731094685085,900644.909178723,1080529.181481796,9395.576179257709,8588.242338946322,0.9836289433823688,764.6571224429275,17782.723777742503,37963.07397224216,882862.1854009805
italy,ITA,Campania,Salerno,2020-04-05,141106.75134988484,562860.0859364028,394546.1627137124,0.12845250930110508,40422.5199145738,940058.6026645071,1078928.7237546607,10230.911998684987,9353.364246654324,0.9821720123063274,832.7611190781937,19366.53765298125,39589.7587954956,920692.0650115259
italy,ITA,Campania,Salerno,2020-04-06,113292.52620197457,548008.9425968741,437211.5312011513,0.1031326221919764,41625.27192328851,968029.5796113607,1077657.3981508086,10693.546746420423,10162.055102770915,0.9810146972778735,887.0998760152715,20630.22967477376,40738.172047273234,947399.3499365869
italy,ITA,Emilia Romagna,Bologna,2020-03-04,1014363.1860465116,255.8139534883721,0,0.9997478719071017,11,255.8139534883721,1014363.1860465116,255.8139534883721,0,0.9997478719071017,11,255.8139534883721,0,0
italy,ITA,Emilia Romagna,Bologna,2020-03-05,1014208.439808093,381.3568282671853,29.203363639768213,0.9995953553088331,17.40332024605006,404.7283778151177,1014230.1661927206,361.5779271923241,27.255880087031983,0.9996167686517999,16.52919505943612,384.3998851031656,0.8741251866139415,20.328492711952094
