date,adm0_name,adm1_id,adm1_name,lat,lon,cum_hospitalized_symptom,cum_intensive_care,cum_hospitalized,cum_home_confinement,active_cases,active_cases_new,cum_recoveries,cum_deaths,cum_confirmed_cases,cum_tests,cum_hospitalized_symptom_imputed,cum_intensive_care_imputed,cum_hospitalized_imputed,cum_home_confinement_imputed,cum_recoveries_imputed,cum_deaths_imputed,cum_confirmed_cases_imputed,cum_tests_imputed
2020-02-29,ITA,3,Lombardia,45.4667941,9.1903474,256.0000000,80.0000000,336.0000000,,552,78,40.0000000,23.0000000,615.0000000,5723.0000000,256,80,336,74,40,23,615,5723
2020-02-29,ITA,11,Marche,43.6167597,13.5188753,6.0000000,2.0000000,8.0000000,3.0000000,11,5,0.0000000,0.0000000,11.0000000,68.0000000,6,2,8,3,0,0,11,68
2020-02-29,ITA,14,Molise,41.5577475,14.6591605,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-29,ITA,1,Piemonte,45.0732745,7.6806875,7.0000000,0.0000000,7.0000000,4.0000000,11,0,0.0000000,0.0000000,11.0000000,308.0000000,7,0,7,4,0,0,11,308
2020-02-29,ITA,16,Puglia,41.1255958,16.8673669,1.0000000,0.0000000,1.0000000,2.0000000,3,0,0.0000000,0.0000000,3.0000000,252.0000000,1,0,1,2,0,0,3,252
2020-02-29,ITA,20,Sardegna,39.2153119,9.1106163,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,1.0000000,0,0,0,0,0,0,0,1
2020-02-29,ITA,19,Sicilia,38.1156972,13.3623567,1.0000000,0.0000000,1.0000000,1.0000000,2,0,2.0000000,0.0000000,4.0000000,6.0000000,1,0,1,1,2,0,4,6
2020-02-29,ITA,9,Toscana,43.7692308,11.2558888,7.0000000,0.0000000,7.0000000,3.0000000,10,3,1.0000000,0.0000000,11.0000000,531.0000000,7,0,7,3,1,0,11,531
2020-02-29,ITA,4,P.A. Trento,46.0689351,11.1212310,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,43.0000000,0,0,0,0,0,0,0,43
2020-02-29,ITA,10,Umbria,43.1067584,12.3882470,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,31.0000000,0,0,0,0,0,0,0,31
2020-02-29,ITA,2,Valle d'Aosta,45.7375029,7.3201494,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,9.0000000,0,0,0,0,0,0,0,9
