date,adm0_name,adm1_name,adm_level,cumulative_confirmed_cases,cumulative_tests,cumulative_deaths
2020-03-21,USA,North Carolina,1,184.0,5276.0,0.0
2020-03-21,USA,North Dakota,1,28.0,1169.0,0.0
2020-03-21,USA,Nebraska,1,38.0,394.0,0.0
2020-03-21,USA,New Hampshire,1,55.0,1028.0,
2020-03-21,USA,New Jersey,1,1327.0,1621.0,16.0
2020-03-21,USA,New Mexico,1,57.0,3828.0,
2020-03-21,USA,Nevada,1,124.0,2508.0,2.0
2020-03-21,USA,New York,1,10356.0,45437.0,44.0
2020-03-21,USA,Ohio,1,247.0,387.0,3.0
2020-03-21,USA,Oklahoma,1,53.0,613.0,1.0
2020-03-21,USA,Oregon,1,114.0,2117.0,3.0
2020-03-21,USA,Pennsylvania,1,371.0,4137.0,2.0
2020-03-21,USA,Puerto Rico,1,21.0,164.0,
2020-03-21,USA,Rhode Island,1,66.0,928.0,
2020-03-21,USA,South Carolina,1,152.0,1407.0,1.0
2020-03-21,USA,South Dakota,1,14.0,705.0,1.0
2020-03-21,USA,Tennessee,1,371.0,3643.0,
2020-03-21,USA,Texas,1,304.0,6522.0,5.0
2020-03-21,USA,Utah,1,136.0,2560.0,0.0
2020-03-21,USA,Virginia,1,152.0,2790.0,2.0
2020-03-21,USA,Virgin Islands,1,6.0,,0.0
2020-03-21,USA,Vermont,1,29.0,808.0,2.0
2020-03-21,USA,Washington,1,1524.0,23243.0,83.0
2020-03-21,USA,Wisconsin,1,281.0,4909.0,4.0
2020-03-21,USA,West Virginia,1,11.0,341.0,0.0
2020-03-21,USA,Wyoming,1,23.0,461.0,
2020-03-20,USA,Alaska,1,12.0,698.0,
2020-03-20,USA,Alabama,1,81.0,109.0,0.0
2020-03-20,USA,Arkansas,1,96.0,447.0,
2020-03-20,USA,American Samoa,1,0.0,,0.0
2020-03-20,USA,Arizona,1,65.0,276.0,0.0
2020-03-20,USA,California,1,1063.0,11487.0,20.0
2020-03-20,USA,Colorado,1,277.0,2952.0,3.0
2020-03-20,USA,Connecticut,1,194.0,798.0,3.0
2020-03-20,USA,District of Columbia,1,71.0,572.0,1.0
2020-03-20,USA,Delaware,1,38.0,74.0,0.0
2020-03-20,USA,Florida,1,520.0,2390.0,10.0
2020-03-20,USA,Georgia,1,420.0,2386.0,13.0
2020-03-20,USA,Guam,1,14.0,100.0,
2020-03-20,USA,Hawaii,1,26.0,150.0,
2020-03-20,USA,Iowa,1,45.0,687.0,
2020-03-20,USA,Idaho,1,23.0,613.0,
2020-03-20,USA,Illinois,1,590.0,4286.0,5.0
2020-03-20,USA,Indiana,1,79.0,554.0,2.0
2020-03-20,USA,Kansas,1,44.0,461.0,1.0
2020-03-20,USA,Kentucky,1,47.0,639.0,1.0
2020-03-20,USA,Louisiana,1,479.0,1047.0,12.0
2020-03-20,USA,Massachusetts,1,413.0,4091.0,1.0
2020-03-20,USA,Maryland,1,149.0,243.0,1.0
2020-03-20,USA,Maine,1,57.0,2321.0,
2020-03-20,USA,Michigan,1,549.0,2618.0,3.0
2020-03-20,USA,Minnesota,1,115.0,3856.0,
2020-03-20,USA,Missouri,1,47.0,416.0,1.0
2020-03-20,USA,Northern Marianas,1,0.0,,0.0
