date,adm0_name,adm1_name,cum_confirmed_cases,cum_confirmed_cases_imputed,cum_deaths,cum_deaths_imputed
2020-02-13,USA,South Carolina,0,0,0,0
2020-02-14,USA,South Carolina,0,0,0,0
2020-02-15,USA,South Carolina,0,0,0,0
2020-02-16,USA,South Carolina,0,0,0,0
2020-02-17,USA,South Carolina,0,0,0,0
2020-02-18,USA,South Carolina,0,0,0,0
2020-02-19,USA,South Carolina,0,0,0,0
2020-02-20,USA,South Carolina,0,0,0,0
2020-02-21,USA,South Carolina,0,0,0,0
2020-02-22,USA,South Carolina,0,0,0,0
2020-02-23,USA,South Carolina,0,0,0,0
2020-02-24,USA,South Carolina,0,0,0,0
2020-02-25,USA,South Carolina,0,0,0,0
2020-02-26,USA,South Carolina,0,0,0,0
2020-02-27,USA,South Carolina,0,0,0,0
2020-02-28,USA,South Carolina,0,0,0,0
2020-02-29,USA,South Carolina,0,0,0,0
2020-03-01,USA,South Carolina,0,0,0,0
2020-03-02,USA,South Carolina,0,0,0,0
2020-03-03,USA,South Carolina,0,0,0,0
2020-03-04,USA,South Carolina,0,0,0,0
2020-03-05,USA,South Carolina,0,0,0,0
2020-03-06,USA,South Carolina,2,2,0,0
2020-03-07,USA,South Carolina,5,5,0,0
2020-03-08,USA,South Carolina,7,7,0,0
2020-03-09,USA,South Carolina,9,9,0,0
2020-03-10,USA,South Carolina,10,10,0,0
2020-03-11,USA,South Carolina,12,12,0,0
2020-03-12,USA,South Carolina,13,13,0,0
2020-03-13,USA,South Carolina,13,13,0,0
2020-03-14,USA,South Carolina,19,19,0,0
2020-03-15,USA,South Carolina,28,28,0,0
2020-03-16,USA,South Carolina,33,33,1,1
2020-03-17,USA,South Carolina,47,47,1,1
2020-03-18,USA,South Carolina,60,60,1,1
2020-03-19,USA,South Carolina,80,80,1,1
2020-03-20,USA,South Carolina,124,124,1,1
2020-03-21,USA,South Carolina,171,171,3,3
2020-03-22,USA,South Carolina,193,193,3,3
2020-03-23,USA,South Carolina,297,297,5,5
2020-03-24,USA,South Carolina,340,340,7,7
2020-03-25,USA,South Carolina,424,424,7,7
2020-03-26,USA,South Carolina,453,453,10,10
2020-03-27,USA,South Carolina,539,539,9,9
2020-03-28,USA,South Carolina,660,660,15,15
2020-03-29,USA,South Carolina,774,774,16,16
2020-03-30,USA,South Carolina,925,925,18,18
2020-03-31,USA,South Carolina,1083,1083,22,22
2020-04-01,USA,South Carolina,1293,1293,26,26
2020-04-02,USA,South Carolina,1553,1553,32,32
2020-04-03,USA,South Carolina,1699,1699,35,35
2020-04-04,USA,South Carolina,1913,1913,41,41
2020-04-05,USA,South Carolina,2048,2048,45,45
2020-04-06,USA,South Carolina,2230,2230,49,49
2020-04-07,USA,South Carolina,2417,2417,53,53
2020-04-08,USA,South Carolina,2552,2552,63,63
2020-04-09,USA,South Carolina,2792,2792,67,67
2020-04-10,USA,South Carolina,3064,3064,72,72
2020-04-11,USA,South Carolina,3064,3064,72,72
2020-04-12,USA,South Carolina,3318,3318,82,82
2020-04-13,USA,South Carolina,3438,3438,82,82
2020-04-14,USA,South Carolina,3553,3553,95,95
2020-04-15,USA,South Carolina,3656,3656,104,104
2020-04-16,USA,South Carolina,3917,3917,109,109
2020-04-17,USA,South Carolina,4080,4080,116,116
2020-04-18,USA,South Carolina,4240,4240,119,119
2020-04-19,USA,South Carolina,4369,4369,120,120
2020-04-20,USA,South Carolina,4434,4434,124,124
2020-04-21,USA,South Carolina,4605,4605,135,135
