country,adm0_name,adm1_name,adm2_name,date,susceptible_individuals_no_policy,infectious_individuals_no_policy,recovered_individuals_no_policy,share_of_susceptible_individuals_no_policy,cum_confirmed_cases_no_policy,cum_infections_no_policy,susceptible_individuals_with_policy,infectious_individuals_with_policy,recovered_individuals_with_policy,share_of_susceptible_individuals_with_policy,cum_confirmed_cases_with_policy,cum_infections_with_policy,cases_saved,infections_saved
italy,ITA,Toscana,Pistoia,2020-03-27,135340.65619777353,115854.53547617917,41277.80832604732,0.4627458131101795,6587.862289458279,153206.09975484372,284285.8872163244,4878.660385668101,3308.452398007503,0.9720072868822913,347.14923274584,8073.237970833488,6240.713056712439,145132.86178401022
italy,ITA,Toscana,Pistoia,2020-03-28,112390.79895664284,129164.25930070256,50917.94174265461,0.38427751948604777,7562.14494034562,175863.83582199118,283659.76508237276,5118.169801363652,3695.065116263577,0.9698665007791241,373.89936734587377,8695.334124322646,7188.245572999746,167168.50169766851
italy,ITA,Toscana,Pistoia,2020-03-29,90012.08410466932,140974.43973754928,61486.47615778139,0.30776202967340344,8514.17159196904,198003.99051090793,282807.12986186607,5555.047396056198,4110.822742077755,0.9669512394712197,410.1935175217606,9539.384128413038,8103.978074447279,188464.60638249488
italy,ITA,Toscana,Pistoia,2020-03-30,72608.68075094413,147217.8736149662,72646.44563408967,0.24825772208355687,9258.082370132046,215304.24116586155,282134.0937921136,5789.829479565274,4549.076728321146,0.9646500490373935,438.9698757836798,10208.60176241116,8819.112494348366,205095.6394034504
italy,ITA,Toscana,Pistoia,2020-03-31,58103.22962690164,150246.9195369789,84122.85083611945,0.19866185810964307,9879.907211884363,229765.2839973108,281417.8020776112,6048.620434922009,5006.577487466799,0.9622009624054569,469.5872693086671,10920.634169969004,9410.319942575696,218844.64982734178
italy,ITA,Toscana,Pistoia,2020-04-01,46226.06884647734,150545.29074713442,95701.64040638824,0.1580524316654096,10390.444452342996,241638.24307774412,280627.48382501444,6358.910506172839,5486.605668812699,0.9594987702284123,503.3443352073162,11705.682214123633,9887.10011713568,229932.56086362049
italy,ITA,Toscana,Pistoia,2020-04-02,36528.973681647905,148736.26764397425,107207.75867437784,0.12489690905364907,10808.32765798494,251356.4571624405,279693.79788602743,6782.71059001594,5996.491523956647,0.9563063868665738,543.1612323052527,12631.656565238436,10265.166425679688,238724.80059720206
italy,ITA,Toscana,Pistoia,2020-04-03,29100.847388266062,144886.51302324166,118485.63958849228,0.09949926108825793,11129.49085608973,258825.36874627278,278746.1394525585,7188.981605353741,6537.878942087758,0.9530662298829583,583.601933208773,13572.137981599371,10545.888922880957,245253.2307646734
italy,ITA,Toscana,Pistoia,2020-04-04,23510.24196653297,139557.02503634652,129405.73299712052,0.08038431570275878,11372.105159770692,264467.5618551324,277843.19259996543,7523.199689293055,7106.6077107415185,0.9499789471163678,622.1900585323419,14469.536244938186,10749.91510123835,249998.02561019422
italy,ITA,Toscana,Pistoia,2020-04-05,18833.294556172685,133742.56474945057,139897.14069437675,0.0643932758106652,11575.529340414687,269198.3567538299,276618.719737343,8138.09501183411,7716.185250822862,0.9457923286503132,674.3302074357626,15682.097847343319,10901.199132978923,253516.25890648662
italy,ITA,Toscana,Pistoia,2020-04-06,15540.354151710017,127026.40544065635,149906.24040763362,0.05313432060979994,11719.586719236695,272548.52835434175,275656.2287567314,8459.681535950376,8357.089707318228,0.9425014574225018,715.4954706539361,16639.42955009154,11004.09124858276,255909.0988042502
italy,ITA,Toscana,Prato,2020-03-11,257227.62790697673,488.37209302325584,0,0.9981049989406041,21,488.37209302325584,257227.62790697673,488.37209302325584,0,0.9981049989406041,21,488.37209302325584,0,0
italy,ITA,Toscana,Prato,2020-03-12,256953.55532665303,708.6363993934569,53.808273953502066,0.997041531479043,32.36694264103643,752.7195963031729,257080.599793923,591.6926842668471,43.707521810167236,0.9975344945363229,27.193866907232575,632.4155094705251,5.173075733803856,120.30408683264784
italy,ITA,Toscana,Prato,2020-03-13,256563.39276913,1021.3923277033748,131.21490316663403,0.9955276070136507,48.55780827924027,1129.2513553311692,256907.29466211598,712.3714266016825,96.33391128233052,0.9968620289858448,34.49883582416611,802.2985075387468,14.058972455074162,326.9528477924224
italy,ITA,Toscana,Prato,2020-03-14,256022.85068615188,1452.2843674953642,240.8649463527545,0.9934301738586346,71.01503840602962,1651.5125210704564,256710.55370573283,846.5473137328122,158.89898053434445,0.9960986268052152,42.801421813542476,995.3819026405228,28.213616592487142,656.1306184299336
italy,ITA,Toscana,Prato,2020-03-15,255175.78212258386,2136.437900353901,403.7799770622514,0.9901433443115051,106.10579415257685,2467.5766081994616,256438.263947652,1041.865424675577,235.8706276724115,0.9950420771223052,54.25615987719459,1261.771159934758,51.84963427538226,1205.8054482647035
italy,ITA,Toscana,Prato,2020-03-16,254073.92445680106,3011.4291523574593,630.646390841488,0.9858678718310119,151.9172882383058,3532.960191588507,256159.15190090236,1230.0387483181657,326.8093507794838,0.9939590553202066,66.04185696436934,1535.8571387062639,85.87543127393644,1997.103052882243
italy,ITA,Toscana,Prato,2020-03-17,252518.15024198036,4247.180884894831,950.6688731248141,0.9798310940802293,216.59808268666723,5037.164713643424,255825.86968677453,1455.711967543141,434.418345682323,0.9926658402535137,80.11183015476449,1863.0658175526628,136.48625253190272,3174.098896090761
