date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200513,DE,6952.0,27801.0,,282.0,,,,,,2942.0,B,5/12/2020 18:00,89c3aa7e781ac9d58f5f1bae6a307c1afc5097aa,2020-05-13T20:00:00Z,247.0,,34753,34753,34753,10,10.0,0.0,1251.0,211.0,1462.0
20200513,FL,42402.0,552361.0,1191.0,,7835.0,,,,,,A+,5/13/2020 09:43,7766681d762a4c3ecce27b7599fcdb5298c6c7c3,2020-05-13T20:00:00Z,1898.0,7835.0,595954,594763,594763,12,49.0,181.0,14680.0,479.0,15159.0
20200513,GA,35332.0,238572.0,,,6259.0,,1494.0,,,,A+,5/13/2020 13:25,426dc2758151720472ddd5b9db4bd03d4e94f0b0,2020-05-13T20:00:00Z,1505.0,6259.0,273904,273904,273904,13,44.0,129.0,11028.0,697.0,11725.0
20200513,GU,152.0,4110.0,,,,,,,,124.0,C,5/13/2020 07:55,4a7dfbff7cef9bb628d4da02e7880c1ec1ed8d30,2020-05-13T20:00:00Z,5.0,,4262,4262,4262,66,0.0,0.0,171.0,0.0,171.0
20200513,HI,635.0,37730.0,,,81.0,,,,,563.0,B,5/12/2020 18:00,26416e0e81e32454f332ba7a2462f08be63995b3,2020-05-13T20:00:00Z,17.0,81.0,38365,38365,38365,15,0.0,0.0,425.0,1.0,426.0
20200513,IA,13289.0,72430.0,,388.0,,133.0,,101.0,,5954.0,A+,5/12/2020 00:00,7078aec8259446a6b063280cf2da9b2ed255b4ce,2020-05-13T20:00:00Z,306.0,,85719,85719,85719,19,17.0,0.0,4054.0,377.0,4431.0
20200513,ID,2293.0,30835.0,,,214.0,,88.0,,,1536.0,B,5/12/2020 19:00,3bf18933be28c366ecce611428a9a73197f586cb,2020-05-13T20:00:00Z,69.0,214.0,33128,33128,33128,16,-1.0,4.0,390.0,33.0,423.0
20200513,IL,84698.0,404661.0,,4563.0,,1208.0,,714.0,,,A,5/13/2020 00:00,850a3d380e16b1a41147bdf42cad86804414204a,2020-05-13T20:00:00Z,3792.0,,489359,489359,489359,17,191.0,0.0,15991.0,1677.0,17668.0
20200513,IN,25473.0,128610.0,,1336.0,4389.0,481.0,990.0,217.0,,,A+,5/12/2020 23:59,571f1446b987b3bcd5bb0e77dfa164f4f65b7c47,2020-05-13T20:00:00Z,1619.0,4389.0,154083,154083,154083,18,41.0,0.0,3227.0,346.0,3573.0
20200513,KS,7468.0,50160.0,,,704.0,,238.0,,108.0,422.0,A,5/13/2020 10:00,60f9cb70675f6aa8680647af9392458ed8400983,2020-05-13T20:00:00Z,164.0,704.0,57628,57628,57628,20,6.0,44.0,3167.0,352.0,3519.0
20200513,KY,6853.0,103781.0,,379.0,1825.0,215.0,783.0,,,2546.0,A+,5/12/2020 17:00,e62d39fb90ce7f21c28c982cb8b93123839ad7b3,2020-05-13T20:00:00Z,321.0,1825.0,110634,110634,110634,21,10.0,58.0,6434.0,176.0,6610.0
20200513,LA,32662.0,205242.0,,1194.0,,,,147.0,,22608.0,B,5/13/2020 13:00,0f10a4ca63459290d22c161e545e63eaca3a62d4,2020-05-13T20:00:00Z,2381.0,,237904,237904,237904,22,34.0,0.0,9280.0,612.0,9892.0
20200513,MA,80497.0,329535.0,,3101.0,8032.0,794.0,,,,,A+,5/13/2020 10:00,0361f85391c9351ec6cd8a1a6679b819bba00927,2020-05-13T20:00:00Z,5315.0,8032.0,410032,410032,410032,25,174.0,190.0,7371.0,1165.0,8536.0
20200513,MD,34812.0,138762.0,,1550.0,6404.0,572.0,,,,2456.0,,5/13/2020 10:00,f9cc0944f478cc08e0e95735b65e1cef089c6deb,2020-05-13T20:00:00Z,1809.0,6404.0,173574,173574,173574,24,53.0,117.0,3320.0,751.0,4071.0
20200513,ME,1515.0,22092.0,,41.0,204.0,20.0,,7.0,,943.0,B,5/13/2020 12:30,20cebe6a0dde50f21335799472837100f364019c,2020-05-13T20:00:00Z,66.0,204.0,23607,23607,23607,23,1.0,2.0,0.0,38.0,38.0
20200513,MI,48391.0,259869.0,,1384.0,,693.0,,525.0,,22686.0,A+,5/13/2020 11:00,8c362386bb61b44481f31cefb3e2fb6a6607884a,2020-05-13T20:00:00Z,4714.0,,308260,308260,308260,26,40.0,0.0,0.0,370.0,370.0
20200513,MN,12917.0,109118.0,,494.0,1851.0,199.0,647.0,,,8149.0,A+,5/12/2020 17:00,cb2b7b13c5966374bc33f734f8cf46a79339ad71,2020-05-13T20:00:00Z,638.0,1851.0,122035,122035,122035,27,24.0,52.0,778.0,423.0,1201.0
20200513,MO,10142.0,114000.0,,771.0,,,,129.0,,,B,5/13/2020 15:00,2a5d4cdbefd6105fb82708c9457a7883d72e52d6,2020-05-13T20:00:00Z,542.0,,124142,124142,124142,29,18.0,0.0,2710.0,136.0,2846.0
20200513,MP,19.0,3021.0,,,,,,,,12.0,D,5/13/2020 00:00,928c81f38edb611befb506b92974b588a3693a02,2020-05-13T20:00:00Z,2.0,,3040,3040,3040,69,0.0,0.0,167.0,0.0,167.0
20200513,MS,10090.0,89958.0,,604.0,1616.0,150.0,,79.0,,6268.0,A,5/12/2020 19:00,5694ba1eb7d050ab826606ab2f4fcaeb33d28ca1,2020-05-13T20:00:00Z,465.0,1616.0,100048,100048,100048,28,8.0,34.0,2174.0,182.0,2356.0
20200513,MT,462.0,23390.0,,3.0,63.0,,,,,430.0,B,5/13/2020 00:00,361e8774d1eb2ee74016227b7b2c8e1aa970c248,2020-05-13T20:00:00Z,16.0,63.0,23852,23852,23852,30,0.0,0.0,816.0,1.0,817.0
20200513,NC,15816.0,194641.0,,521.0,,,,,,9115.0,A,5/13/2020 10:40,f2c7adc6470979e3d0020cdec2a2c65ad8ae8958,2020-05-13T20:00:00Z,597.0,,210457,210457,210457,37,20.0,0.0,7743.0,470.0,8213.0
20200513,ND,1647.0,47298.0,,37.0,127.0,,,,,969.0,C,5/13/2020 13:00,318a9e66fa74eb4f693061ca3eee2b00fa2f8025,2020-05-13T20:00:00Z,40.0,127.0,48945,48945,48945,38,2.0,5.0,1037.0,76.0,1113.0
20200513,NE,8692.0,41033.0,,192.0,,81.0,,56.0,,,B,5/12/2020 20:00,03d5496c5e3e98969ecdb244cab1cd95b25900c0,2020-05-13T20:00:00Z,103.0,,49725,49725,49725,31,3.0,0.0,1662.0,120.0,1782.0
20200513,NH,3239.0,33977.0,51.0,121.0,319.0,,97.0,,,1234.0,B,5/12/2020 09:00,bd2864c1732c7c51efa2c636d5a748767e45ba3b,2020-05-13T20:00:00Z,142.0,319.0,37267,37216,37216,33,9.0,1.0,1576.0,79.0,1655.0
