adm0_name,adm1_name,adm1_pop_weight,adm2_name,adm3_name,date,policy,travel_ban_country_list,no_gathering_size,Optional,Notes,source,access_date
USA,all,1,all,all,2/22/20,travel_ban_international_outbound,japan,NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/20
USA,all,1,all,all,2/22/20,travel_ban_international_outbound,South korea,NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/20
USA,all,1,all,all,2/23/20,travel_ban_international_outbound,"Iran, Ialy",NA,Y,travel warning - level 1,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/20
USA,all,1,all,all,2/24/20,travel_ban_international_outbound,South korea,NA,Y,travel warning - level 3,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/20
USA,all,1,all,all,2/24/20,travel_ban_international_outbound,"Iran, Italy",NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/20
USA,all,1,all,all,3/15/20,travel_ban_international_outbound,"Ireland, UK",NA,Y,avoid all non-essential travel,https://wwwnc.cdc.gov/travel/notices,3/15/20
USA,all,1,all,all,3/12/20,travel_ban_international_outbound,"Iran, China, South Korea",NA,Y,avoid all non-essential travel,https://wwwnc.cdc.gov/travel/notices,3/15/20
USA,all,1,all,all,3/13/20,travel_ban_international_outbound,"Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, Monaco, San Marino, Vatican City",NA,Y,avoid all non-essential travel,https://wwwnc.cdc.gov/travel/notices/warning/coronavirus-europe,3/15/20
USA,all,1,all,all,3/13/20,emergency_declaration,NA,NA,NA,National Emergency,https://www.nga.org/coronavirus/#states,3/14/20
USA,all,1,all,all,3/11/20,travel_ban_international_outbound,NA,NA,Y,Travel warning - level 3,https://www.nga.org/coronavirus/#states,3/14/20
USA,all,1,all,all,3/15/20,no_gathering,NA,50,Y,limited gathering size,https://www.cdc.gov/coronavirus/2019-ncov/community/large-events/mass-gatherings-ready-for-covid-19.html,3/16/20
USA,all,1,all,all,3/8/20,event_cancel,NA,NA,N,"2020 BNP Paribas Open, major tennis tournament in California, one of the first U.S. sporting events canceled due to coronavirus concerns.",https://www.mycouriertribune.com/covid--timeline/article_9d799948-671d-11ea-bb57-dfe928dcdeab.html,3/17/20
USA,all,1,all,all,3/12/20,event_cancel,NA,NA,N,"NHL, MLB, NCAA, and MBA cencel sporting events",https://www.mycouriertribune.com/covid--timeline/article_9d799948-671d-11ea-bb57-dfe928dcdeab.html,3/17/20
USA,AR,1,all,all,3/11/20,emergency_declaration,NA,NA,NA,public health Emergency,https://www.nga.org/coronavirus/#states,3/14/20
USA,AR,1,all,all,3/13/20,social_distance,NA,NA,N,"prohibited visitation of long-term care facilities (i.e. nursing homes, residential care facilities, assisted
living facilities, post-acute head injury retraining and residential care facilities, and any other facility that provides long-term medical or personal care.)",https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,3/15/20
USA,AR,1,all,all,3/12/20,home_isolation,NA,NA,Y,"if exposed or recently traveled, stay home",https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,3/15/20
USA,AR,0.06508064,Pulaski,Little Rock,3/13/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,AR,0.02176506,Pulaski,North Little Rock,3/13/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,AR,0.01464594,Jefferson,Pine Bluff,3/13/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,AR,1,all,all,3/11/20,emergency_declaration,NA,NA,NA,an executive order to declare a public health emergency to facilitate coordination and provide increased support to state agencies that are involved in response to the virus.,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-03._.pdf,3/17/20
USA,AR,1,all,all,3/17/20,school_closure,NA,NA,N,he Governor closed all public schools starting March 17 for on-site instruction until the end of Spring Break.,https://www.thv11.com/article/news/health/coronavirus/coronavirus-in-arkansas-update-covid-19/91-38399170-8be9-4f07-b837-c56c963dbc6a,3/17/20
USA,AZ,1,all,all,3/11/20,emergency_declaration,NA,NA,NA,State of emergency,https://www.nga.org/coronavirus/#states,3/14/20
USA,AZ,1,all,all,3/16/20,school_closure,NA,NA,N,mandatory,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,3/14/20
USA,AZ,1,all,all,3/16/20,no_gathering,NA,NA,Y,50 people or more,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,3/15/20
USA,AZ,1,all,all,3/16/20,work_from_home,NA,NA,Y,stay home when sick,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,3/15/20
USA,AZ,0.21337972,Oswego,Phoenix,3/13/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
